date,competition,home_team,away_team,home_goals,away_goals,home_before,away_before,penalty_home,penalty_away,exp_home,exp_away,delta_home,delta_away,home_after,away_after
1997-08-16,ligue-2,Louhans-Cuiseaux,FC Lorient,1,3,1399.35,1414.35,0,0,0.4784,0.5216,-14.35,14.35,1385.0,1428.71
1997-08-16,ligue-1,Paris Saint-Germain,AS Cannes,3,1,1628.71,1571.29,0,0,0.5819,0.4181,12.54,-12.54,1641.25,1558.75
1997-08-16,ligue-1,Montpellier HSC,Olympique Marseille,0,0,1584.35,1628.71,0,0,0.4365,0.5635,1.9,-1.9,1586.26,1626.8
1997-08-16,ligue-1,Olympique Lyonnais,AS Monaco,0,3,1600.0,1585.0,0,0,0.5216,0.4784,-15.65,15.65,1584.35,1600.65
1997-08-16,ligue-1,EA Guingamp,RC Strasbourg,0,0,1600.0,1615.65,0,0,0.4775,0.5225,0.68,-0.68,1600.68,1614.97
1997-08-16,ligue-1,Girondins Bordeaux,Stade Rennais,2,2,1600.0,1570.0,0,0,0.5431,0.4569,-1.29,1.29,1598.71,1571.29
1997-08-16,ligue-1,FC Nantes,AJ Auxerre,0,2,1571.29,1571.29,0,0,0.5,0.5,-15.0,15.0,1556.29,1586.29
1997-08-16,ligue-2,Stade Lavallois,FC Mulhouse,3,0,1385.65,1400.0,0,0,0.4794,0.5206,15.62,-15.62,1401.27,1384.38
1997-08-19,national,US Créteil-Lusitanos,FC Istres,1,0,1229.35,1201.26,0,0,0.5403,0.4597,13.79,-13.79,1243.14,1187.47
1997-08-19,national,Thouars Foot 79,US Raon l'Etape,1,0,1185.65,1215.65,0,0,0.4569,0.5431,16.29,-16.29,1201.94,1199.36
1997-08-19,national,AS Angoulême Charente,Gazélec FC Ajaccio,2,0,1215.62,1186.29,0,0,0.5421,0.4579,13.74,-13.74,1229.36,1172.56
1997-08-19,national,SAS Épinal,Saint-Denis Saint-Leu FC,0,0,1216.86,1212.53,0,0,0.5062,0.4938,-0.19,0.19,1216.67,1212.71
1997-08-19,national,RC France 92,CS Sedan,0,1,1198.09,1212.5,0,0,0.4793,0.5207,-14.38,14.38,1183.71,1226.88
1997-08-19,national,Angers SCO,US Lusitanos de Saint-Maur,3,2,1157.47,1199.97,0,0,0.4391,0.5609,16.83,-16.83,1174.3,1183.15
1997-08-19,national,AC Ajaccio,Olympique Noisy-le-Sec Banlieue 93,2,1,1213.71,1198.73,0,0,0.5215,0.4785,14.35,-14.35,1228.06,1184.38
1997-08-19,national,Paris FC,Tours FC,1,0,1199.35,1171.97,0,0,0.5393,0.4607,13.82,-13.82,1213.17,1158.15
1997-08-20,ligue-2,Nîmes Olympique,Lille OSC,0,0,1399.36,1415.0,0,0,0.4775,0.5225,0.67,-0.67,1400.03,1414.33
1997-08-20,ligue-2,ASOA Valence,SC Toulon,2,1,1386.29,1357.53,0,0,0.5413,0.4587,13.76,-13.76,1400.06,1343.77
1997-08-20,ligue-2,Red Star FC,AS Saint-Étienne,1,0,1400.56,1369.44,0,0,0.5447,0.4553,13.66,-13.66,1414.22,1355.78
1997-08-20,ligue-2,ESTAC Troyes,SM Caen,2,1,1442.42,1371.35,0,0,0.6009,0.3991,11.97,-11.97,1454.39,1359.37
1997-08-20,ligue-2,Amiens SC,Louhans-Cuiseaux,1,1,1428.09,1385.0,0,0,0.5617,0.4383,-1.85,1.85,1426.24,1386.85
1997-08-20,ligue-2,FC Mulhouse,Chamois Niortais,3,0,1384.38,1401.26,0,0,0.4757,0.5243,15.73,-15.73,1400.11,1385.54
1997-08-20,ligue-2,AS Nancy Lorraine,Stade Lavallois,2,0,1399.94,1401.27,0,0,0.4981,0.5019,15.06,-15.06,1415.0,1386.21
1997-08-20,ligue-2,FC Gueugnon,OGC Nice,1,2,1413.76,1400.0,0,0,0.5198,0.4802,-15.59,15.59,1398.17,1415.59
1997-08-20,ligue-2,Le Mans FC,FC Martigues,0,0,1401.21,1371.94,0,0,0.542,0.458,-1.26,1.26,1399.95,1373.2
1997-08-20,ligue-2,FC Lorient,FC Sochaux,2,1,1428.71,1428.71,0,0,0.5,0.5,15.0,-15.0,1443.71,1413.71
1997-08-20,ligue-2,ES Wasquehal,AS Beauvais,3,2,1385.0,1428.79,0,0,0.4373,0.5627,16.88,-16.88,1401.88,1411.91
1997-08-21,ligue-1,AS Cannes,Girondins Bordeaux,0,2,1558.75,1598.71,0,0,0.4427,0.5573,-13.28,13.28,1545.47,1611.99
1997-08-21,ligue-1,RC Strasbourg,FC Nantes,1,2,1614.97,1556.29,0,0,0.5837,0.4163,-17.51,17.51,1597.46,1573.8
1997-08-22,national,Stade Poitevin,US Créteil-Lusitanos,0,0,1199.35,1243.14,0,0,0.4373,0.5627,1.88,-1.88,1201.23,1241.26
1997-08-22,national,Olympique Noisy-le-Sec Banlieue 93,RC France 92,0,1,1184.38,1183.71,0,0,0.501,0.499,-15.03,15.03,1169.35,1198.74
1997-08-22,national,US Lusitanos de Saint-Maur,SAS Épinal,1,0,1183.15,1216.67,0,0,0.4519,0.5481,16.44,-16.44,1199.59,1200.23
1997-08-22,national,US Raon l'Etape,Étoile FC,3,1,1199.36,1185.65,0,0,0.5197,0.4803,14.41,-14.41,1213.76,1171.24
1997-08-22,national,CS Sedan,AC Ajaccio,2,0,1226.88,1228.06,0,0,0.4983,0.5017,15.05,-15.05,1241.93,1213.01
1997-08-22,national,Tours FC,Angers SCO,4,1,1158.15,1174.3,0,0,0.4768,0.5232,15.7,-15.7,1173.84,1158.6
1997-08-22,national,FC Istres,Paris FC,1,1,1187.47,1213.17,0,0,0.4631,0.5369,1.11,-1.11,1188.58,1212.07
1997-08-22,ligue-1,Montpellier HSC,Toulouse FC,4,0,1586.26,1628.76,0,0,0.4391,0.5609,16.83,-16.83,1603.08,1611.94
1997-08-22,ligue-1,Stade Rennais,AS Monaco,2,1,1571.29,1600.65,0,0,0.4579,0.5421,16.26,-16.26,1587.56,1584.38
1997-08-22,ligue-1,Havre AC,Olympique Lyonnais,1,3,1600.59,1584.35,0,0,0.5234,0.4766,-15.7,15.7,1584.89,1600.05
1997-08-22,ligue-1,Olympique Marseille,RC Lens,2,3,1626.8,1599.41,0,0,0.5393,0.4607,-16.18,16.18,1610.62,1615.59
1997-08-22,ligue-1,FC Metz,Paris Saint-Germain,2,1,1643.07,1641.25,0,0,0.5026,0.4974,14.92,-14.92,1657.99,1626.33
1997-08-22,ligue-1,AJ Auxerre,EA Guingamp,1,0,1586.29,1600.68,0,0,0.4793,0.5207,15.62,-15.62,1601.91,1585.05
1997-08-22,national,Saint-Denis Saint-Leu FC,AS Angoulême Charente,1,2,1212.71,1229.36,0,0,0.4761,0.5239,-14.28,14.28,1198.43,1243.64
1997-08-22,ligue-1,SC Bastia,LB Châteauroux,1,1,1629.94,1571.93,0,0,0.5827,0.4173,-2.48,2.48,1627.46,1574.41
1997-08-23,ligue-2,AS Saint-Étienne,FC Lorient,0,0,1355.78,1443.71,0,0,0.3761,0.6239,3.72,-3.72,1359.49,1439.99
1997-08-23,ligue-2,FC Sochaux,Nîmes Olympique,1,0,1413.71,1400.03,0,0,0.5197,0.4803,14.41,-14.41,1428.12,1385.62
1997-08-23,ligue-2,OGC Nice,Amiens SC,1,1,1415.59,1426.24,0,0,0.4847,0.5153,0.46,-0.46,1416.05,1425.78
1997-08-23,ligue-2,Chamois Niortais,AS Nancy Lorraine,2,1,1385.54,1415.0,0,0,0.4577,0.5423,16.27,-16.27,1401.81,1398.73
1997-08-23,ligue-2,AS Beauvais,ASOA Valence,1,2,1411.91,1400.06,0,0,0.5171,0.4829,-15.51,15.51,1396.4,1415.57
1997-08-23,ligue-2,Louhans-Cuiseaux,FC Gueugnon,2,1,1386.85,1398.17,0,0,0.4837,0.5163,15.49,-15.49,1402.34,1382.68
1997-08-23,ligue-2,FC Martigues,Red Star FC,2,0,1373.2,1414.22,0,0,0.4412,0.5588,16.76,-16.76,1389.96,1397.46
1997-08-23,ligue-2,SM Caen,ES Wasquehal,6,0,1359.37,1401.88,0,0,0.4391,0.5609,16.83,-16.83,1376.2,1385.05
1997-08-23,ligue-2,Stade Lavallois,ESTAC Troyes,2,1,1386.21,1454.39,0,0,0.4031,0.5969,17.91,-17.91,1404.12,1436.48
1997-08-23,ligue-2,Lille OSC,Le Mans FC,2,0,1414.33,1399.95,0,0,0.5207,0.4793,14.38,-14.38,1428.7,1385.57
1997-08-23,ligue-2,SC Toulon,FC Mulhouse,2,1,1343.77,1400.11,0,0,0.4196,0.5804,17.41,-17.41,1361.18,1382.7
1997-08-29,national,Étoile FC,Gazélec FC Ajaccio,1,4,1171.24,1172.56,0,0,0.4981,0.5019,-14.94,14.94,1156.3,1187.5
1997-08-29,national,Stade Poitevin,Tours FC,4,1,1201.23,1173.84,0,0,0.5393,0.4607,13.82,-13.82,1215.05,1160.02
1997-08-29,national,Thouars Foot 79,Olympique Noisy-le-Sec Banlieue 93,0,0,1201.94,1169.35,0,0,0.5468,0.4532,-1.4,1.4,1200.54,1170.75
1997-08-29,national,SAS Épinal,Angers SCO,0,0,1200.23,1158.6,0,0,0.5596,0.4404,-1.79,1.79,1198.44,1160.39
1997-08-29,national,AS Angoulême Charente,CS Sedan,1,2,1243.64,1241.93,0,0,0.5025,0.4975,-15.07,15.07,1228.56,1257.0
1997-08-29,national,US Créteil-Lusitanos,US Raon l'Etape,1,0,1241.26,1213.76,0,0,0.5395,0.4605,13.82,-13.82,1255.08,1199.95
1997-08-29,national,AC Ajaccio,Saint-Denis Saint-Leu FC,1,0,1213.01,1198.43,0,0,0.521,0.479,14.37,-14.37,1227.38,1184.06
1997-08-29,ligue-2,Amiens SC,AS Saint-Étienne,0,0,1425.78,1359.49,0,0,0.5943,0.4057,-2.83,2.83,1422.95,1362.32
1997-08-29,ligue-1,EA Guingamp,Olympique Marseille,1,1,1585.05,1610.62,0,0,0.4633,0.5367,1.1,-1.1,1586.16,1609.52
1997-08-29,ligue-1,AS Monaco,FC Metz,1,2,1584.38,1657.99,0,0,0.3956,0.6044,-11.87,11.87,1572.51,1669.86
1997-08-29,national,RC France 92,US Lusitanos de Saint-Maur,0,1,1198.74,1199.59,0,0,0.4988,0.5012,-14.96,14.96,1183.78,1214.55
1997-08-30,ligue-2,FC Gueugnon,AS Beauvais,1,1,1382.68,1396.4,0,0,0.4803,0.5197,0.59,-0.59,1383.27,1395.81
1997-08-30,ligue-2,AS Nancy Lorraine,SC Toulon,3,0,1398.73,1361.18,0,0,0.5538,0.4462,13.38,-13.38,1412.12,1347.79
1997-08-30,ligue-2,Red Star FC,Lille OSC,1,1,1397.46,1428.7,0,0,0.4552,0.5448,1.35,-1.35,1398.81,1427.36
1997-08-30,ligue-2,ESTAC Troyes,Chamois Niortais,1,0,1436.48,1401.81,0,0,0.5497,0.4503,13.51,-13.51,1449.99,1388.3
1997-08-30,ligue-2,ASOA Valence,Louhans-Cuiseaux,2,1,1415.57,1402.34,0,0,0.519,0.481,14.43,-14.43,1430.0,1387.91
1997-08-30,ligue-2,ES Wasquehal,Stade Lavallois,1,2,1385.05,1404.12,0,0,0.4726,0.5274,-14.18,14.18,1370.88,1418.29
1997-08-30,ligue-2,FC Mulhouse,OGC Nice,1,1,1382.7,1416.05,0,0,0.4521,0.5479,1.44,-1.44,1384.13,1414.62
1997-08-30,ligue-2,Le Mans FC,Nîmes Olympique,1,2,1385.57,1385.62,0,0,0.4999,0.5001,-15.0,15.0,1370.57,1400.62
1997-08-30,ligue-2,SM Caen,FC Sochaux,2,1,1376.2,1428.12,0,0,0.4258,0.5742,17.22,-17.22,1393.42,1410.89
1997-08-30,ligue-1,Toulouse FC,RC Strasbourg,1,1,1611.94,1597.46,0,0,0.5208,0.4792,-0.62,0.62,1611.31,1598.09
1997-08-30,ligue-1,LB Châteauroux,AS Cannes,1,2,1574.41,1545.47,0,0,0.5416,0.4584,-16.25,16.25,1558.17,1561.71
1997-08-30,ligue-1,Paris Saint-Germain,Stade Rennais,4,1,1626.33,1587.56,0,0,0.5556,0.4444,13.33,-13.33,1639.66,1574.22
1997-08-30,ligue-1,Olympique Lyonnais,SC Bastia,0,2,1600.05,1627.46,0,0,0.4606,0.5394,-13.82,13.82,1586.23,1641.28
1997-08-30,ligue-1,RC Lens,Montpellier HSC,0,0,1615.59,1603.08,0,0,0.518,0.482,-0.54,0.54,1615.05,1603.62
1997-08-30,ligue-1,Girondins Bordeaux,AJ Auxerre,3,2,1611.99,1601.91,0,0,0.5145,0.4855,14.57,-14.57,1626.56,1587.35
1997-08-30,ligue-1,FC Nantes,Havre AC,2,0,1573.8,1584.89,0,0,0.484,0.516,15.48,-15.48,1589.28,1569.41
