date,competition,journee,equipe_dom,equipe_ext,buts_dom,buts_ext
1997-09-20,ligue-1,8,EA Guingamp,FC Nantes,1,0
1997-09-20,ligue-2,10,AS Nancy Lorraine,AS Saint-Étienne,2,0
1997-09-21,ligue-1,8,SC Bastia,FC Metz,0,0
1997-09-21,ligue-1,8,Montpellier HSC,AS Monaco,0,2
1997-09-21,ligue-2,10,SM Caen,OGC Nice,0,0
1997-09-24,ligue-2,11,Le Mans FC,FC Gueugnon,2,3
1997-09-24,ligue-2,11,AS Saint-Étienne,FC Mulhouse,2,2
1997-09-24,ligue-2,11,SC Toulon,Chamois Niortais,1,1
1997-09-24,ligue-2,11,AS Beauvais,Amiens SC,1,0
1997-09-24,ligue-2,11,FC Sochaux,ES Wasquehal,2,1
1997-09-24,ligue-2,11,Red Star FC,ASOA Valence,1,1
1997-09-24,ligue-2,11,Lille OSC,AS Nancy Lorraine,2,3
1997-09-24,ligue-2,11,FC Martigues,ESTAC Troyes,1,4
1997-09-24,ligue-2,11,Nîmes Olympique,FC Lorient,1,0
1997-09-24,ligue-2,11,Louhans-Cuiseaux,SM Caen,0,2
1997-09-25,ligue-1,9,Olympique Lyonnais,RC Lens,1,3
1997-09-25,ligue-1,9,Girondins Bordeaux,Olympique Marseille,2,0
1997-09-26,ligue-1,9,LB Châteauroux,Havre AC,2,1
1997-09-26,national,10,Stade Poitevin,FC Istres,1,1
1997-09-26,national,10,Thouars Foot 79,CS Sedan,1,1
1997-09-26,national,10,US Raon l'Etape,Gazélec FC Ajaccio,0,3
1997-09-26,national,10,US Créteil-Lusitanos,Olympique Noisy-le-Sec Banlieue 93,1,0
1997-09-26,national,10,AS Angoulême Charente,SAS Épinal,5,0
1997-09-26,national,10,Paris FC,Angers SCO,3,0
1997-09-26,ligue-1,9,Toulouse FC,EA Guingamp,3,0
1997-09-26,ligue-1,9,Stade Rennais,SC Bastia,2,0
1997-09-26,national,10,Étoile FC,Saint-Denis Saint-Leu FC,1,1
1997-09-26,ligue-1,9,Paris Saint-Germain,Montpellier HSC,1,1
1997-09-26,ligue-1,9,FC Metz,AJ Auxerre,3,0
1997-09-26,ligue-1,9,AS Monaco,RC Strasbourg,3,2
1997-09-26,ligue-1,9,FC Nantes,AS Cannes,1,2
1997-09-26,national,10,AC Ajaccio,RC France 92,0,0
1997-09-27,ligue-2,12,Amiens SC,Le Mans FC,2,0
